Time (s),x,y,z
11.816,0.54,-0.33,-0.15
11.826,0.53,-0.37,-0.14
11.828,0.51,-0.42,-0.12
11.831,0.44,-0.45,0.03
11.836,0.22,-0.45,0.05
11.845,0.07,-0.47,-0.01
11.846,-0.04,-0.58,-0.05
11.85,-0.12,-0.7,0
11.858,-0.24,-0.84,0.05
11.861,-0.37,-1.07,0.1
11.873,-0.63,-1.26,0.34
11.874,-0.89,-1.5,0.65
11.882,-1.27,-1.84,1.19
11.883,-1.91,-2,2
11.909,-2,-2,2
11.911,-2,-2,2
11.912,-2,-2,1.84
11.914,-2,-2,1.02
11.915,-2,-1.98,0.4
11.916,-2,-1.73,0.42
11.918,-2,-1.36,0.77
11.919,-1.61,-1,0.95
11.928,-1.11,-0.73,0.94
11.93,-0.84,-0.54,0.7
11.935,-0.65,-0.39,0.5
11.947,-0.47,-0.27,0.38
11.95,-0.33,-0.22,0.35
11.951,-0.17,-0.29,0.33
11.954,-0.01,-0.45,0.35
11.963,0.11,-0.76,0.34
11.964,0.22,-1.1,0.4
11.969,0.28,-1.41,0.39
11.977,0.29,-1.58,0.25
11.979,0.25,-1.6,-0.04
11.984,0.17,-1.45,-0.44
12.01,0.11,-1.25,-0.77
12.012,0.1,-1.03,-0.86
12.014,0.15,-0.87,-0.96
12.015,0.19,-0.84,-1.03
12.017,0.22,-0.91,-1.03
12.019,0.2,-0.94,-0.99
12.021,0.17,-0.98,-0.85
12.029,0.11,-0.96,-0.66
12.031,0.07,-0.93,-0.4
12.034,0.04,-0.89,0.07
12.042,-0.29,-0.78,1.14
12.044,-0.68,-0.75,1.45
12.048,-0.9,-0.91,1.31
12.06,-0.87,-1.06,0.95
12.062,-0.65,-1.11,0.37
12.064,-0.46,-1.12,-0.09
12.068,-0.35,-1.11,-0.3
12.076,-0.26,-1.09,-0.36
12.078,-0.18,-1.06,-0.31
12.083,-0.15,-1.03,-0.28
12.119,-0.14,-0.99,-0.21
12.121,-0.13,-0.95,-0.17
12.124,-0.15,-0.93,-0.19
12.126,-0.16,-0.95,-0.2
12.129,-0.17,-0.98,-0.22
12.131,-0.21,-1.03,-0.24
12.133,-0.24,-1.08,-0.29
12.135,-0.26,-1.16,-0.33
12.138,-0.28,-1.23,-0.35
12.14,-0.29,-1.32,-0.36
12.142,-0.33,-1.38,-0.38
12.144,-0.38,-1.39,-0.41
12.163,-0.43,-1.35,-0.45
12.164,-0.5,-1.25,-0.46
12.166,-0.57,-1.14,-0.47
12.167,-0.62,-1.05,-0.46
12.169,-0.65,-0.98,-0.44
12.178,-0.68,-0.9,-0.43
12.18,-0.7,-0.84,-0.43
12.182,-0.73,-0.8,-0.43
12.212,-0.76,-0.77,-0.41
12.214,-0.78,-0.75,-0.41
12.216,-0.8,-0.72,-0.37
12.218,-0.81,-0.68,-0.31
12.221,-0.83,-0.63,-0.24
12.222,-0.82,-0.6,-0.18
12.224,-0.77,-0.56,-0.09
12.226,-0.71,-0.57,-0.02
12.227,-0.65,-0.6,0.08
12.237,-0.59,-0.64,0.15
12.238,-0.53,-0.67,0.21
12.241,-0.47,-0.71,0.25
12.246,-0.43,-0.75,0.28
12.251,-0.39,-0.78,0.28
12.261,-0.36,-0.8,0.25
12.262,-0.32,-0.81,0.21
12.267,-0.31,-0.8,0.16
12.277,-0.28,-0.78,0.1
12.28,-0.28,-0.77,0.07
12.282,-0.28,-0.75,0.02
12.285,-0.27,-0.75,-0.03
12.295,-0.26,-0.77,-0.07
12.296,-0.26,-0.79,-0.09
12.301,-0.27,-0.79,-0.1
12.336,-0.27,-0.81,-0.11
12.337,-0.28,-0.81,-0.13
12.339,-0.3,-0.82,-0.13
12.341,-0.33,-0.8,-0.11
12.342,-0.37,-0.79,-0.12
12.344,-0.41,-0.77,-0.14
12.345,-0.47,-0.75,-0.14
12.346,-0.52,-0.73,-0.12
12.347,-0.56,-0.71,-0.11
12.349,-0.6,-0.69,-0.07
12.359,-0.64,-0.68,-0.02
12.36,-0.66,-0.68,0.04
12.365,-0.69,-0.68,0.08
12.375,-0.71,-0.7,0.11
12.377,-0.7,-0.73,0.14
12.38,-0.7,-0.76,0.13
12.384,-0.7,-0.78,0.13
12.394,-0.7,-0.79,0.1
12.395,-0.68,-0.8,0.05
12.399,-0.67,-0.81,0
12.43,-0.64,-0.8,-0.04
12.433,-0.64,-0.81,-0.06
12.436,-0.63,-0.8,-0.09
12.438,-0.64,-0.81,-0.09
12.439,-0.67,-0.81,-0.11
12.441,-0.71,-0.81,-0.07
12.442,-0.74,-0.82,-0.07
12.443,-0.77,-0.83,-0.04
12.445,-0.81,-0.84,-0.01
12.455,-0.84,-0.83,0.03
12.457,-0.87,-0.83,0.05
12.46,-0.92,-0.83,0.1
12.463,-0.96,-0.81,0.12
12.468,-0.99,-0.81,0.16
12.486,-0.98,-0.81,0.18
12.489,-0.99,-0.81,0.18
12.491,-0.99,-0.83,0.17
12.493,-0.97,-0.86,0.14
12.496,-0.95,-0.91,0.11
12.498,-0.93,-0.95,0.07
12.508,-0.91,-0.98,0.05
12.51,-0.91,-1,0.03
12.512,-0.94,-1.03,0.04
12.517,-0.98,-1.03,0.02
12.542,-1.02,-1.03,0.04
12.544,-1.1,-1,0.05
12.546,-1.18,-0.96,0.05
12.547,-1.26,-0.94,0.05
12.549,-1.33,-0.91,0.06
12.55,-1.35,-0.86,0.08
12.553,-1.31,-0.8,0.12
12.564,-1.24,-0.75,0.15
12.566,-1.16,-0.72,0.19
12.568,-1.06,-0.7,0.24
12.577,-1.01,-0.72,0.29
12.578,-0.94,-0.74,0.35
12.582,-0.86,-0.8,0.36
12.591,-0.79,-0.87,0.37
12.592,-0.77,-0.92,0.39
12.596,-0.77,-0.96,0.38
12.601,-0.79,-1.02,0.37
12.625,-0.82,-1.05,0.35
12.626,-0.84,-1.11,0.36
12.628,-0.85,-1.21,0.37
12.63,-0.84,-1.35,0.43
12.631,-0.79,-1.51,0.64
12.633,-0.72,-1.65,0.71
12.642,-0.68,-1.75,0.51
12.645,-0.63,-1.8,0.26
12.648,-0.58,-1.87,-0.02
12.65,-0.52,-1.91,-0.32
12.661,-0.44,-1.97,-0.6
12.662,-0.4,-2,-0.75
12.665,-0.36,-2,-0.87
12.677,-0.29,-2,-0.9
12.68,-0.24,-2,-0.94
12.682,-0.16,-2,-0.95
12.69,-0.08,-2,-0.91
12.692,0.01,-2,-0.78
12.696,0.12,-1.94,-0.37
12.712,0.19,-1.77,0.04
12.714,0.15,-1.55,0.34
12.723,0.01,-1.35,0.52
12.737,-0.11,-1.23,0.66
12.749,-0.22,-1.12,0.75
12.754,-0.29,-1.01,0.73
12.759,-0.33,-0.91,0.64
12.762,-0.35,-0.82,0.52
12.764,-0.37,-0.78,0.33
12.766,-0.42,-0.72,0.17
12.767,-0.47,-0.68,0.02
12.769,-0.56,-0.64,-0.11
12.77,-0.64,-0.62,-0.22
12.772,-0.71,-0.59,-0.29
12.773,-0.79,-0.56,-0.3
12.775,-0.84,-0.53,-0.27
12.809,-0.87,-0.49,-0.25
12.811,-0.86,-0.46,-0.17
12.813,-0.82,-0.44,-0.16
12.815,-0.75,-0.44,-0.1
12.817,-0.65,-0.43,-0.04
12.819,-0.51,-0.46,-0.04
12.821,-0.41,-0.46,-0.04
12.823,-0.32,-0.46,-0.06
12.825,-0.28,-0.45,-0.12
12.826,-0.23,-0.42,-0.14
12.836,-0.2,-0.41,-0.19
12.838,-0.16,-0.39,-0.18
12.839,-0.11,-0.4,-0.21
12.844,-0.08,-0.37,-0.2
12.848,-0.05,-0.37,-0.19
12.88,-0.02,-0.36,-0.19
12.882,0.02,-0.34,-0.17
12.885,0.05,-0.36,-0.17
12.886,0.08,-0.35,-0.16
12.888,0.11,-0.35,-0.13
12.889,0.15,-0.37,-0.14
12.891,0.18,-0.36,-0.15
12.893,0.19,-0.37,-0.17
12.894,0.19,-0.37,-0.17
12.911,0.21,-0.36,-0.21
12.913,0.21,-0.35,-0.22
12.914,0.24,-0.34,-0.23
12.916,0.26,-0.33,-0.26
12.918,0.28,-0.33,-0.27
12.944,0.32,-0.32,-0.29
12.946,0.37,-0.32,-0.29
12.948,0.42,-0.32,-0.28
12.949,0.5,-0.33,-0.27
12.951,0.56,-0.34,-0.32
12.953,0.53,-0.35,-0.24
12.954,0.46,-0.37,0
12.963,0.37,-0.33,0.21
12.965,0.26,-0.37,0.01
12.968,0.12,-0.4,0.1
12.978,0.01,-0.48,0.11
12.98,-0.08,-0.56,0.1
12.982,-0.17,-0.65,0.07
12.993,-0.27,-0.75,0.13
12.994,-0.42,-0.91,0.3
12.996,-0.67,-1.12,0.56
13.026,-0.96,-1.44,1.02
13.028,-1.45,-2,1.72
13.03,-2,-2,2
13.032,-2,-2,2
13.033,-2,-2,2
13.036,-2,-2,1.26
13.038,-2,-2,0.49
13.039,-2,-2,0.09
13.041,-2,-1.71,0.48
13.054,-1.95,-1.26,0.85
13.056,-1.24,-0.87,0.93
13.057,-0.88,-0.63,0.81
13.061,-0.62,-0.44,0.59
13.065,-0.44,-0.26,0.44
13.075,-0.28,-0.13,0.36
13.077,-0.11,-0.11,0.35
13.08,0.03,-0.22,0.33
13.091,0.18,-0.42,0.34
13.093,0.32,-0.72,0.33
13.095,0.43,-1.07,0.33
13.108,0.5,-1.33,0.29
13.109,0.51,-1.49,0.09
13.111,0.48,-1.48,-0.19
13.139,0.4,-1.37,-0.59
13.141,0.31,-1.16,-0.88
13.142,0.28,-0.99,-0.99
13.144,0.3,-0.87,-1.07
13.145,0.32,-0.88,-1.08
13.147,0.27,-0.94,-1.01
13.148,0.22,-1,-0.92
13.151,0.17,-1.06,-0.7
13.16,0.12,-1.07,-0.49
13.162,0.02,-1.06,-0.21
13.165,-0.32,-1.05,0.17
13.175,-0.83,-1.05,0.64
13.176,-1.12,-1.07,0.82
13.179,-1.27,-1.05,1.13
13.19,-1.23,-1.1,1.03
13.191,-1.04,-1.13,0.59
13.194,-0.83,-1.16,0.23
13.199,-0.63,-1.15,-0.03
13.22,-0.49,-1.1,-0.21
13.221,-0.39,-1,-0.27
13.222,-0.35,-0.89,-0.25
13.224,-0.31,-0.82,-0.24
13.225,-0.27,-0.79,-0.21
13.23,-0.23,-0.8,-0.23
13.243,-0.2,-0.83,-0.23
13.244,-0.19,-0.87,-0.27
13.245,-0.19,-0.91,-0.31
13.25,-0.17,-0.98,-0.34
13.26,-0.17,-1.05,-0.37
13.262,-0.16,-1.13,-0.41
13.265,-0.17,-1.2,-0.41
13.276,-0.17,-1.24,-0.4
13.279,-0.19,-1.27,-0.43
13.281,-0.23,-1.22,-0.43
13.283,-0.29,-1.15,-0.43
13.293,-0.34,-1.08,-0.4
13.295,-0.38,-1.01,-0.39
13.298,-0.44,-0.97,-0.35
13.328,-0.48,-0.92,-0.32
13.335,-0.53,-0.9,-0.33
13.339,-0.58,-0.88,-0.32
13.342,-0.65,-0.89,-0.3
13.344,-0.7,-0.89,-0.3
13.345,-0.77,-0.87,-0.29
13.347,-0.82,-0.85,-0.28
13.348,-0.84,-0.8,-0.25
13.35,-0.87,-0.75,-0.21
13.351,-0.88,-0.69,-0.14
13.353,-0.84,-0.64,-0.07
13.361,-0.77,-0.61,0.01
13.363,-0.69,-0.63,0.09
13.372,-0.62,-0.66,0.18
13.374,-0.55,-0.69,0.25
13.377,-0.49,-0.73,0.3
13.383,-0.43,-0.76,0.3
13.391,-0.38,-0.77,0.26
13.393,-0.33,-0.78,0.21
13.398,-0.3,-0.79,0.12
13.424,-0.29,-0.81,0.07
13.425,-0.28,-0.81,0
13.427,-0.28,-0.82,-0.06
13.428,-0.28,-0.83,-0.08
13.429,-0.3,-0.83,-0.11
13.43,-0.29,-0.83,-0.09
13.432,-0.33,-0.81,-0.13
13.441,-0.33,-0.81,-0.13
13.443,-0.34,-0.8,-0.14
13.447,-0.37,-0.8,-0.15
13.456,-0.38,-0.8,-0.13
13.457,-0.41,-0.78,-0.13
13.461,-0.46,-0.76,-0.14
13.466,-0.51,-0.72,-0.11
13.474,-0.57,-0.68,-0.07
13.476,-0.6,-0.64,-0.06
13.481,-0.62,-0.61,-0.05
13.49,-0.62,-0.57,0
13.492,-0.63,-0.55,0.04
13.495,-0.63,-0.56,0.07
13.523,-0.61,-0.57,0.08
13.525,-0.62,-0.61,0.09
13.526,-0.62,-0.65,0.08
13.527,-0.61,-0.69,0.04
13.528,-0.61,-0.73,0
13.53,-0.62,-0.77,-0.05
13.531,-0.61,-0.79,-0.1
13.539,-0.62,-0.81,-0.13
13.54,-0.61,-0.81,-0.13
13.545,-0.61,-0.81,-0.12
13.55,-0.62,-0.81,-0.11
13.558,-0.63,-0.83,-0.11
13.559,-0.67,-0.83,-0.1
13.565,-0.71,-0.84,-0.06
13.573,-0.76,-0.84,-0.02
13.576,-0.8,-0.86,0.01
13.58,-0.84,-0.88,0.05
13.589,-0.85,-0.92,0.11
13.591,-0.85,-0.93,0.16
13.595,-0.84,-0.94,0.22
13.599,-0.82,-0.95,0.29
13.633,-0.82,-0.95,0.33
13.635,-0.82,-0.93,0.34
13.636,-0.84,-0.91,0.3
13.638,-0.85,-0.89,0.26
13.642,-0.87,-0.89,0.16
13.644,-0.88,-0.9,0.11
13.646,-0.89,-0.91,0.03
13.648,-0.91,-0.93,-0.02
13.65,-0.92,-0.97,-0.05
13.652,-0.95,-0.99,-0.06
13.656,-1,-1.01,-0.07
13.662,-1.06,-1.03,-0.05
13.664,-1.1,-1.02,-0.05
13.672,-1.15,-0.98,-0.01
13.673,-1.2,-0.92,0.02
13.678,-1.24,-0.9,0.05
13.688,-1.25,-0.86,0.09
13.689,-1.26,-0.83,0.16
13.693,-1.23,-0.8,0.21
13.699,-1.16,-0.76,0.26
13.705,-1.08,-0.73,0.31
13.708,-0.99,-0.72,0.35
13.713,-0.92,-0.71,0.37
13.738,-0.86,-0.74,0.37
13.739,-0.79,-0.78,0.39
13.74,-0.76,-0.84,0.37
13.741,-0.75,-0.92,0.36
13.742,-0.75,-0.99,0.35
13.743,-0.77,-1.04,0.35
13.747,-0.85,-1.08,0.34
13.753,-0.93,-1.12,0.35
13.758,-1.02,-1.23,0.37
13.763,-1.07,-1.39,0.48
13.771,-1.05,-1.61,0.69
13.773,-0.96,-1.78,0.62
13.779,-0.83,-1.9,0.42
13.788,-0.66,-1.98,0.14
13.789,-0.55,-2,-0.12
13.793,-0.47,-2,-0.36
13.798,-0.4,-2,-0.54
13.804,-0.34,-2,-0.7
13.807,-0.27,-2,-0.81
13.811,-0.2,-2,-0.87
13.831,-0.14,-2,-0.92
13.832,-0.07,-1.98,-0.94
13.833,0.01,-1.93,-0.95
13.834,0.07,-1.85,-0.83
13.842,0.14,-1.7,-0.45
13.843,0.2,-1.46,0.11
13.847,0.09,-1.34,0.36
13.854,-0.09,-1.26,0.51
13.857,-0.2,-1.19,0.63
13.862,-0.31,-1.08,0.72
13.87,-0.34,-0.97,0.72
13.872,-0.37,-0.85,0.59
13.879,-0.38,-0.78,0.48
13.886,-0.4,-0.73,0.33
13.888,-0.44,-0.68,0.18
13.892,-0.51,-0.63,0.05
13.897,-0.58,-0.57,-0.06
13.903,-0.68,-0.55,-0.14
13.906,-0.73,-0.54,-0.23
13.91,-0.78,-0.54,-0.27
13.934,-0.81,-0.51,-0.22
13.936,-0.81,-0.48,-0.23
13.938,-0.81,-0.44,-0.18
13.939,-0.76,-0.42,-0.17
13.941,-0.71,-0.41,-0.17
13.943,-0.63,-0.39,-0.16
13.946,-0.54,-0.39,-0.14
13.956,-0.46,-0.39,-0.15
13.957,-0.4,-0.41,-0.13
13.961,-0.34,-0.41,-0.14
13.965,-0.3,-0.41,-0.15
13.971,-0.27,-0.41,-0.18
13.975,-0.24,-0.38,-0.16
13.981,-0.21,-0.38,-0.17
13.987,-0.18,-0.39,-0.18
13.991,-0.14,-0.39,-0.18
13.996,-0.12,-0.38,-0.18
14.003,-0.1,-0.4,-0.18
14.005,-0.07,-0.39,-0.17
14.011,-0.04,-0.39,-0.16
14.015,-0.01,-0.39,-0.19
14.032,0.03,-0.41,-0.21
14.033,0.07,-0.38,-0.22
14.035,0.08,-0.37,-0.23
14.036,0.1,-0.37,-0.25
14.04,0.11,-0.36,-0.26
14.044,0.1,-0.36,-0.28
14.053,0.13,-0.35,-0.32
14.055,0.15,-0.33,-0.33
14.06,0.18,-0.33,-0.36
14.065,0.24,-0.33,-0.38
14.074,0.3,-0.32,-0.35
14.076,0.38,-0.34,-0.32
14.079,0.46,-0.33,-0.29
14.09,0.53,-0.35,-0.28
14.091,0.56,-0.37,-0.21
14.093,0.52,-0.42,-0.14
14.109,0.49,-0.48,-0.1
14.11,0.42,-0.48,-0.08
14.111,0.25,-0.46,-0.05
14.113,0.15,-0.52,0.02
14.132,0.08,-0.59,0.13
14.133,0.02,-0.67,0.19
14.134,-0.04,-0.8,0.26
14.135,-0.15,-0.94,0.34
14.138,-0.35,-1.06,0.49
14.143,-0.59,-1.28,0.75
14.147,-0.91,-1.55,1.22
14.154,-1.41,-2,1.93
14.158,-2,-2,2
14.163,-2,-2,2
14.171,-2,-2,2
14.173,-2,-2,1.66
14.178,-2,-2,1.05
14.188,-2,-1.98,0.52
14.189,-2,-1.53,0.72
14.192,-1.87,-1.11,0.88
14.198,-1.31,-0.75,0.85
14.205,-0.95,-0.48,0.68
14.207,-0.72,-0.28,0.46
14.212,-0.55,-0.11,0.33
14.232,-0.42,-0.03,0.22
14.233,-0.26,-0.03,0.19
14.234,-0.16,-0.14,0.23
14.235,-0.03,-0.34,0.29
14.237,0.11,-0.67,0.33
14.241,0.21,-0.96,0.27
14.246,0.27,-1.25,0.11
14.255,0.29,-1.37,-0.15
14.257,0.28,-1.36,-0.51
14.262,0.21,-1.27,-0.77
14.269,0.14,-1.14,-0.96
14.271,0.1,-1.06,-1.04
14.276,0.11,-1.01,-1.16
14.281,0.04,-1.01,-1.26
14.287,-0.05,-1.08,-1.19
14.291,-0.16,-1.17,-1.04
14.296,-0.33,-1.22,-0.86
14.302,-0.6,-1.26,-0.61
14.306,-0.94,-1.23,-0.29
14.31,-1.48,-1.18,0.61
14.332,-1.87,-1.12,1.68
14.333,-1.86,-1.07,2
14.334,-1.51,-0.99,2
14.335,-0.82,-0.94,1.77
14.336,-0.22,-0.85,0.9
14.34,0.1,-0.75,0.07
14.345,0.23,-0.72,-0.47
14.353,0.28,-0.71,-0.69
14.355,0.27,-0.7,-0.61
14.36,0.28,-0.7,-0.48
14.369,0.3,-0.74,-0.42
14.371,0.27,-0.78,-0.4
14.375,0.23,-0.83,-0.36
14.38,0.17,-0.87,-0.37
14.385,0.13,-0.91,-0.34
14.39,0.09,-0.99,-0.33
14.395,0.06,-1.07,-0.31
14.402,0.05,-1.18,-0.3
14.404,0.04,-1.29,-0.3
14.409,0.04,-1.41,-0.32
14.43,0,-1.5,-0.33
14.431,-0.03,-1.54,-0.35
14.432,-0.1,-1.51,-0.34
14.433,-0.17,-1.45,-0.32
14.44,-0.31,-1.35,-0.3
14.441,-0.41,-1.27,-0.27
14.444,-0.5,-1.21,-0.24
14.452,-0.6,-1.16,-0.23
14.454,-0.69,-1.12,-0.24
14.461,-0.8,-1.12,-0.22
14.464,-0.87,-1.1,-0.27
14.47,-0.95,-1.05,-0.31
14.474,-1.02,-0.97,-0.34
14.479,-1.08,-0.86,-0.36
14.505,-1.09,-0.73,-0.32
14.506,-1.09,-0.61,-0.31
14.507,-1.06,-0.51,-0.27
14.509,-1.01,-0.44,-0.17
14.51,-0.92,-0.42,-0.07
14.511,-0.83,-0.43,0.02
14.514,-0.75,-0.47,0.09
14.52,-0.67,-0.55,0.15
14.524,-0.57,-0.62,0.17
14.528,-0.5,-0.69,0.17
14.547,-0.44,-0.73,0.18
14.548,-0.4,-0.76,0.14
14.549,-0.37,-0.76,0.1
14.55,-0.34,-0.76,0.06
14.556,-0.32,-0.77,-0.01
14.558,-0.29,-0.77,-0.04
14.563,-0.28,-0.77,-0.07
14.569,-0.25,-0.8,-0.1
14.573,-0.24,-0.82,-0.07
14.577,-0.25,-0.82,-0.07
14.585,-0.22,-0.85,-0.07
14.587,-0.2,-0.86,-0.05
14.593,-0.19,-0.85,-0.05
14.605,-0.21,-0.85,-0.04
14.606,-0.22,-0.83,0
14.608,-0.26,-0.8,0.02
14.612,-0.31,-0.76,0.02
14.63,-0.36,-0.72,0.03
14.632,-0.42,-0.68,0.01
14.633,-0.46,-0.63,0
14.633,-0.52,-0.59,0
14.637,-0.54,-0.57,0.01
14.642,-0.56,-0.54,0.03
14.647,-0.56,-0.55,0.04
14.655,-0.55,-0.57,0.07
14.657,-0.56,-0.59,0.07
14.661,-0.57,-0.62,0.06
14.67,-0.58,-0.68,0.02
14.672,-0.6,-0.73,0.01
14.676,-0.6,-0.77,-0.04
14.685,-0.58,-0.8,-0.08
14.686,-0.58,-0.82,-0.08
14.691,-0.57,-0.84,-0.1
14.696,-0.58,-0.84,-0.13
14.702,-0.6,-0.85,-0.13
14.706,-0.63,-0.86,-0.12
14.711,-0.66,-0.87,-0.1
14.731,-0.71,-0.89,-0.11
14.732,-0.76,-0.89,-0.07
14.733,-0.8,-0.92,-0.06
14.734,-0.87,-0.92,-0.03
14.736,-0.91,-0.92,0.03
14.741,-0.95,-0.92,0.07
14.745,-1,-0.91,0.11
14.752,-1.03,-0.87,0.13
14.756,-1.09,-0.84,0.18
14.761,-1.11,-0.8,0.17
14.767,-1.11,-0.77,0.17
14.775,-1.08,-0.79,0.15
14.776,-1.04,-0.83,0.14
14.781,-1,-0.89,0.09
14.786,-0.95,-0.97,0.03
14.79,-0.91,-1.03,0.02
14.795,-0.9,-1.09,0.01
14.806,-0.92,-1.13,0.03
14.807,-0.95,-1.15,0.05
14.81,-1,-1.15,0.07
14.832,-1.05,-1.12,0.1
14.833,-1.1,-1.07,0.13
14.834,-1.14,-1.01,0.17
14.835,-1.2,-0.95,0.21
14.837,-1.2,-0.88,0.23
14.84,-1.17,-0.82,0.26
14.845,-1.11,-0.75,0.28
14.852,-1.06,-0.72,0.3
14.854,-1.02,-0.73,0.32
14.859,-1.01,-0.76,0.35
14.868,-0.98,-0.81,0.36
14.869,-0.92,-0.88,0.36
14.874,-0.87,-0.93,0.36
14.879,-0.86,-0.98,0.33
14.884,-0.86,-1.02,0.33
14.889,-0.91,-1.04,0.32
14.894,-0.96,-1.05,0.3
14.901,-1.01,-1.11,0.3
14.904,-1.03,-1.2,0.32
14.909,-1,-1.33,0.36
14.934,-0.87,-1.5,0.55
14.935,-0.72,-1.69,0.7
14.936,-0.6,-1.79,0.56
14.937,-0.52,-1.84,0.36
14.938,-0.48,-1.87,0.06
14.939,-0.44,-1.9,-0.19
14.943,-0.41,-1.93,-0.45
14.952,-0.36,-1.98,-0.66
14.954,-0.29,-2,-0.78
14.958,-0.24,-2,-0.87
14.963,-0.2,-2,-0.88
14.969,-0.14,-2,-0.9
14.973,-0.04,-2,-0.85
14.978,0.03,-2,-0.69
14.985,0.16,-2,-0.31
14.988,0.25,-1.85,0.1
14.992,0.22,-1.62,0.38
15.001,0.05,-1.42,0.59
15.003,-0.12,-1.25,0.69
15.007,-0.23,-1.14,0.75
15.012,-0.28,-1.04,0.67
15.035,-0.33,-0.91,0.55
15.037,-0.36,-0.79,0.4
15.039,-0.39,-0.72,0.24
15.04,-0.42,-0.67,0.14
15.042,-0.43,-0.64,0.01
15.043,-0.47,-0.66,-0.1
15.054,-0.51,-0.63,-0.17
15.055,-0.58,-0.61,-0.21
15.057,-0.64,-0.57,-0.2
15.062,-0.7,-0.51,-0.2
15.078,-0.74,-0.44,-0.19
15.08,-0.75,-0.41,-0.17
15.082,-0.73,-0.4,-0.2
15.083,-0.71,-0.37,-0.18
15.088,-0.67,-0.36,-0.18
15.092,-0.59,-0.36,-0.19
15.097,-0.52,-0.37,-0.17
15.105,-0.44,-0.38,-0.15
15.106,-0.37,-0.4,-0.14
15.111,-0.32,-0.41,-0.12
15.131,-0.27,-0.42,-0.12
15.133,-0.22,-0.42,-0.14
15.134,-0.19,-0.41,-0.13
15.135,-0.17,-0.4,-0.12
15.136,-0.14,-0.4,-0.11
15.141,-0.12,-0.4,-0.08
15.147,-0.09,-0.41,-0.1
15.153,-0.06,-0.41,-0.09
15.156,-0.04,-0.42,-0.11
15.161,-0.02,-0.4,-0.11
15.167,0.01,-0.41,-0.12
15.17,0.03,-0.4,-0.12
15.175,0.06,-0.4,-0.15
15.184,0.06,-0.38,-0.18
15.186,0.07,-0.38,-0.2
15.19,0.08,-0.37,-0.23
15.195,0.07,-0.37,-0.23
15.201,0.08,-0.35,-0.26
15.205,0.1,-0.33,-0.29
15.21,0.13,-0.31,-0.32
15.232,0.17,-0.32,-0.34
15.233,0.23,-0.33,-0.32
15.234,0.3,-0.31,-0.29
15.235,0.39,-0.32,-0.33
15.236,0.44,-0.32,-0.31
15.24,0.45,-0.33,-0.26
15.245,0.42,-0.38,-0.1
15.255,0.27,-0.38,0.05
15.256,0.12,-0.42,-0.02
15.26,0.01,-0.47,0.05
15.27,-0.08,-0.54,0.16
15.271,-0.12,-0.61,0.18
15.274,-0.16,-0.7,0.22
15.279,-0.23,-0.83,0.31
15.285,-0.34,-0.98,0.49
15.289,-0.54,-1.13,0.76
15.294,-0.81,-1.36,1.1
15.302,-1.21,-1.76,1.5
15.304,-1.82,-2,2
15.309,-2,-2,2
15.332,-2,-2,2
15.333,-2,-2,1.84
15.334,-2,-2,1.35
15.335,-2,-2,0.74
15.337,-2,-1.77,0.66
15.339,-2,-1.34,0.84
15.343,-1.53,-0.98,0.88
15.351,-1.08,-0.7,0.73
15.353,-0.78,-0.47,0.5
15.358,-0.56,-0.25,0.33
15.369,-0.38,-0.09,0.3
15.37,-0.22,-0.02,0.33
15.373,-0.08,-0.05,0.33
15.378,0.07,-0.13,0.38
15.384,0.2,-0.27,0.46
15.388,0.31,-0.47,0.46
15.393,0.41,-0.69,0.42
15.401,0.52,-0.91,0.27
15.403,0.57,-1.11,0.04
15.408,0.56,-1.19,-0.28
15.43,0.51,-1.15,-0.65
15.432,0.36,-1.06,-0.93
15.433,0.23,-0.96,-1.05
15.435,0.19,-0.91,-1.01
15.436,0.15,-0.92,-0.99
15.437,0.06,-0.95,-1.03
15.443,-0.03,-1.11,-1.02
15.451,-0.15,-1.3,-0.9
15.453,-0.32,-1.51,-0.68
15.458,-0.67,-1.79,-0.28
15.462,-1.37,-1.97,0.37
15.471,-2,-2,1.36
15.473,-2,-1.89,1.18
15.477,-2,-1.63,1.17
15.485,-1.75,-1.27,1.25
15.487,-1.22,-0.89,1.12
15.492,-0.62,-0.64,0.66
15.502,-0.22,-0.52,0.19
15.503,0.01,-0.46,-0.13
15.507,0.14,-0.48,-0.32
15.512,0.17,-0.52,-0.37
15.533,0.17,-0.54,-0.33
15.534,0.18,-0.58,-0.31
15.535,0.16,-0.64,-0.31
15.537,0.15,-0.7,-0.32
15.538,0.13,-0.76,-0.34
15.542,0.11,-0.82,-0.36
15.554,0.1,-0.87,-0.39
15.556,0.08,-0.94,-0.4
15.557,0.07,-1.03,-0.41
15.561,0.07,-1.14,-0.43
15.57,0.05,-1.25,-0.44
15.571,0.02,-1.37,-0.48
15.576,-0.01,-1.45,-0.49
15.586,-0.08,-1.47,-0.47
15.587,-0.15,-1.44,-0.43
15.591,-0.25,-1.37,-0.4
15.601,-0.35,-1.3,-0.36
15.603,-0.43,-1.24,-0.33
15.605,-0.52,-1.18,-0.34
15.61,-0.59,-1.12,-0.32
15.616,-0.67,-1.07,-0.3
15.621,-0.76,-1.06,-0.28
15.625,-0.84,-1.04,-0.26
15.65,-0.92,-0.99,-0.26
15.652,-0.97,-0.89,-0.24
15.653,-1.01,-0.78,-0.18
15.654,-1,-0.67,-0.11
