10.003,-0.27
10.013,-0.26
10.014,-0.26
10.016,-0.26
10.021,-0.27
10.03,-0.3
10.032,-0.32
10.037,-0.33
10.047,-0.33
10.049,-0.34
10.052,-0.34
10.065,-0.35
10.067,-0.37
10.068,-0.38
10.072,-0.41
10.097,-0.44
10.099,-0.48
10.1,-0.51
10.102,-0.56
10.103,-0.59
10.105,-0.63
10.106,-0.65
10.114,-0.66
10.116,-0.66
10.121,-0.68
10.129,-0.69
10.131,-0.67
10.135,-0.68
10.146,-0.69
10.147,-0.71
10.149,-0.72
10.157,-0.74
10.164,-0.76
10.166,-0.78
10.17,-0.8
10.197,-0.81
10.199,-0.81
10.2,-0.82
10.201,-0.85
10.203,-0.9
10.204,-0.93
10.207,-0.95
10.214,-0.98
10.216,-1.01
10.22,-1.01
10.23,-1.02
10.231,-1
10.235,-0.98
10.245,-0.97
10.246,-0.98
10.249,-1.02
10.254,-1.07
10.264,-1.15
10.266,-1.22
10.27,-1.3
10.297,-1.35
10.3,-1.32
10.303,-1.24
10.308,-1.16
10.309,-1.11
10.311,-1.07
10.314,-1.06
10.315,-1.07
10.318,-1.06
10.32,-1.02
10.333,-0.98
10.335,-0.97
10.338,-0.93
10.34,-0.91
10.354,-0.87
10.356,-0.82
10.358,-0.76
10.36,-0.67
10.363,-0.59
10.378,-0.54
10.379,-0.5
10.381,-0.46
10.383,-0.42
10.387,-0.42
10.415,-0.4
10.418,-0.39
10.419,-0.36
10.422,-0.3
10.424,-0.26
10.426,-0.19
10.428,-0.13
10.43,-0.08
10.432,-0.01
10.444,0.02
10.446,-0.09
10.448,-0.19
10.453,-0.26
10.464,-0.31
10.467,-0.28
10.468,-0.28
10.471,-0.27
10.48,-0.3
10.483,-0.31
10.486,-0.35
10.508,-0.44
10.51,-0.52
10.511,-0.61
10.513,-0.7
10.514,-0.76
10.516,-0.78
10.522,-0.8
10.532,-0.79
10.534,-0.77
10.536,-0.72
10.548,-0.64
10.55,-0.53
10.551,-0.42
10.555,-0.32
10.566,-0.26
10.568,-0.21
10.571,-0.17
10.601,-0.12
10.604,-0.09
10.606,-0.05
10.608,-0.01
10.61,0.02
10.611,0.04
10.613,0.08
10.615,0.1
10.617,0.14
10.629,0.16
10.631,0.18
10.633,0.21
10.635,0.22
10.649,0.25
10.651,0.3
10.653,0.33
10.655,0.4
10.665,0.48
10.667,0.56
10.67,0.6
10.692,0.57
10.694,0.54
10.695,0.48
10.696,0.25
10.698,0.12
10.699,0.01
10.703,-0.07
10.711,-0.13
10.713,-0.22
10.718,-0.35
10.728,-0.54
10.729,-0.8
10.733,-1.29
10.753,-2
10.754,-2
10.756,-2
10.758,-2
10.759,-2
10.77,-2
10.772,-2
10.774,-2
10.798,-1.43
10.8,-1.02
10.801,-0.77
10.803,-0.59
10.805,-0.44
10.806,-0.28
10.808,-0.09
10.819,0.03
10.821,0.18
10.823,0.32
10.833,0.41
10.836,0.49
10.838,0.47
10.847,0.38
10.848,0.33
10.852,0.31
10.864,0.28
10.865,0.26
10.867,0.24
10.88,0.2
10.882,0.13
10.884,0.05
10.886,-0.08
10.91,-0.35
10.912,-1.16
10.913,-1.86
10.916,-2
10.917,-2
10.919,-1.75
10.931,-1.36
10.933,-0.84
10.934,-0.44
10.936,-0.19
10.944,-0.02
10.946,0.08
10.951,0.11
10.962,0.12
10.964,0.14
10.966,0.13
10.971,0.11
10.981,0.08
10.982,0.05
10.986,0.02
11.009,0
11.012,0
11.014,-0.01
11.016,-0.02
11.018,-0.05
11.02,-0.08
11.023,-0.15
11.032,-0.23
11.035,-0.33
11.036,-0.42
11.046,-0.5
11.048,-0.58
11.05,-0.66
11.061,-0.76
11.063,-0.85
11.065,-0.94
11.07,-1.02
11.08,-1.04
11.081,-1.04
11.085,-1
11.111,-0.95
11.114,-0.88
11.115,-0.79
11.117,-0.68
11.12,-0.58
11.122,-0.49
11.124,-0.41
11.126,-0.36
11.136,-0.32
11.138,-0.26
11.139,-0.23
11.149,-0.19
11.151,-0.18
11.153,-0.16
11.17,-0.17
11.172,-0.19
11.174,-0.2
11.177,-0.23
11.179,-0.25
11.19,-0.28
11.192,-0.31
11.201,-0.34
11.202,-0.39
11.204,-0.42
11.223,-0.46
11.225,-0.49
11.226,-0.51
11.227,-0.53
11.228,-0.55
11.233,-0.58
11.244,-0.63
11.246,-0.66
11.248,-0.67
11.253,-0.68
11.261,-0.68
11.263,-0.65
11.266,-0.64
11.277,-0.64
11.278,-0.65
11.281,-0.67
11.287,-0.71
11.312,-0.75
11.314,-0.79
11.316,-0.83
11.317,-0.84
11.319,-0.88
11.321,-0.9
11.323,-0.91
11.335,-0.94
11.341,-0.97
11.345,-1
11.35,-0.99
11.353,-0.97
11.355,-0.93
11.357,-0.89
11.369,-0.86
11.372,-0.86
11.374,-0.86
11.376,-0.89
11.38,-0.93
11.385,-1
11.392,-1.07
11.395,-1.14
11.401,-1.22
11.429,-1.27
11.433,-1.3
11.436,-1.28
11.438,-1.22
11.441,-1.14
11.442,-1.07
11.444,-1.02
11.445,-0.97
11.447,-0.94
11.457,-0.91
11.458,-0.88
11.46,-0.85
11.465,-0.87
11.479,-0.9
11.481,-0.94
11.482,-0.96
11.484,-0.99
11.511,-1.01
11.513,-1
11.515,-0.95
11.517,-0.85
11.519,-0.73
11.521,-0.64
11.523,-0.59
11.524,-0.58
11.534,-0.52
11.535,-0.5
11.544,-0.43
11.545,-0.38
11.55,-0.31
11.553,-0.26
11.564,-0.18
11.565,-0.11
11.569,-0.02
11.579,0.04
11.581,0.05
11.584,-0.04
11.608,-0.13
11.609,-0.22
11.61,-0.27
11.612,-0.28
11.613,-0.26
11.614,-0.27
11.619,-0.28
