numSteps,cadence,skewness,kurtosis,gaitVelocity,stepLength,ratio,stepTime,avgPower,snr,thd,weight,gender,drinks,result
16,1.5355,1.2177,4.8122,0.095969,6.6923,NaN,14.148,26448,-4.9006,-6.3833,127,male,0,a
13,1.3107,0.93442,5.2312,0.10083,-3.33E-16,NaN,7.1217,22357,-1.1926,-9.8801,127,male,0,a
16,1.4532,1.6271,5.8399,0.090827,6.6923,0.4725,12.242,39025,-5.3306,NaN,127,male,0,a
14,1.4547,1.0692,4.9266,0.10391,2.0769,0.64809,10.742,28695,-1.3789,-9.0381,127,male,0,a
15,1.2812,1.7595,6.5851,0.085412,4.3077,0.54863,7.5096,45759,-6.1366,-10.073,127,male,0,a
16,1.4945,0.69932,3.8099,0.093406,6.6923,0.45762,13.206,22192,-0.30599,-7.0957,127,male,0,a
13,1.2368,1.5119,5.9949,0.095138,7.77E-16,0.95048,5.5674,33062,-4.2108,-4.748,127,male,0,a
22,2.094,0.94296,4.1914,0.095184,24.231,NaN,35.563,24831,-4.5278,3.5511,127,male,0,a
15,1.4398,1.2582,5.1751,0.095988,4.3077,NaN,11.179,20464,-3.8469,-5.9214,127,male,0,a
15,1.4016,0.83104,3.7566,0.09344,4.3077,0.3395,10.322,18976,-0.42684,-5.9234,127,male,0,a
15,1.5589,0.92487,4.7451,0.10393,4.3077,NaN,13.762,25318,-0.15982,NaN,127,male,0,a
14,1.3063,1.4189,6.0322,0.09331,2.0769,0.41062,7.5717,30618,-1.2457,-4.2111,127,male,0,a
12,1.2604,1.6968,7.4883,0.10503,-1.9231,NaN,5.6035,28459,-5.0822,NaN,127,male,0,a
14,1.2275,1.85,7.8629,0.087681,2.0769,0.53312,5.7804,39222,-6.8288,NaN,127,male,0,a
13,1.3242,1.3169,5.0954,0.10186,-1.11E-15,0.72935,7.398,27564,-4.0243,-4.8998,127,male,0,a
14,1.2498,1.4529,6.8797,0.08927,2.0769,0.96761,6.2949,25098,-5.1163,-7.9999,127,male,0,a
15,1.4135,1.3321,4.8952,0.094233,4.3077,0.51738,10.59,29810,-3.3962,NaN,127,male,0,a
16,1.4028,1.4319,5.497,0.087673,6.6923,0.96578,11.038,25188,-4.4856,-4.0039,127,male,0,a
18,1.7809,1.2645,5.0498,0.098941,11.923,NaN,21.95,25113,-6.2731,1.5022,127,male,0,a
16,1.5361,0.82474,3.6725,0.096006,6.6923,0.54973,14.162,16810,-2.933,-8.382,127,male,0,a
15,1.4687,1.2055,4.7549,0.097914,4.3077,0.61984,11.818,26917,-1.52,-10.158,127,male,0,a
17,1.6489,1.0249,4.2601,0.096993,9.2308,0.95727,17.721,19503,-1.3598,-11.768,127,male,0,a
15,1.3041,1.295,6.2697,0.086941,4.3077,0.97223,8.0598,23796,-4.9518,NaN,127,male,0,a
15,1.3509,1.195,4.9228,0.090058,4.3077,0.96441,9.159,24659,-4.5742,-3.9174,127,male,0,a
13,1.2486,1.1963,5.2664,0.096043,-1.33E-15,NaN,5.8193,18015,-1.4835,-4.0104,127,male,0,a
18,1.5743,1.1897,5.2188,0.087458,11.923,NaN,16.903,29122,-3.9337,0.34801,127,male,0,a
12,1.1411,1.5047,6.6498,0.095093,-1.9231,0.70868,3.1774,31700,-4.9722,NaN,124,male,0,a
15,1.3153,1.117,4.9086,0.087689,4.3077,NaN,8.3259,29647,-2.0246,-3.0384,124,male,0,a
16,1.5221,0.95952,4.4872,0.095129,6.6923,NaN,13.841,22053,-6.4203,NaN,124,male,0,a
15,1.4273,0.98956,4.3957,0.095157,4.3077,NaN,10.901,22974,-0.99582,-14.146,124,male,0,a
15,1.4981,1.1521,4.9607,0.09987,4.3077,0.96753,12.458,26567,-2.4866,-11.965,124,male,0,a
15,1.3041,1.4707,5.4627,0.086941,4.3077,NaN,8.0598,42987,-5.667,NaN,124,male,0,a
13,1.2733,1.3707,5.5857,0.097943,9.99E-16,0.68143,6.3424,35204,-4.2153,-6.3734,124,male,0,a
19,1.6667,1.4217,5.1697,0.087719,14.769,NaN,20.267,4501.4,-1.5365,NaN,70,male,0,a
12,1.0709,1.7907,8.1757,0.089238,-1.9231,NaN,1.6443,24969,-4.6155,-3.9951,124,male,0,a
12,1.1983,1.4534,7.071,0.09986,-1.9231,NaN,4.3659,13903,-2.208,-9.2203,127,male,0,a
14,1.3203,1.5111,7.1212,0.094304,2.0769,0.64008,7.8796,14296,-1.9375,-7.9056,127,male,0,a
12,1.1315,1.8363,7.1364,0.094295,-1.9231,0.24846,2.9735,23252,-2.9368,-13.543,127,male,0,a
11,1.0274,2.1947,8.589,0.093397,-3.6923,0.50067,0.59402,36886,-4.5682,NaN,127,male,0,a
10,0.96006,1.7178,7.2936,0.096006,-5.3077,0.42852,-0.81539,22908,-6.4015,NaN,127,male,1,a
11,1.132,1.8686,8.1848,0.10291,-3.6923,0.94693,2.7354,15433,-5.7304,-2.8312,127,male,1,a
12,1.1872,1.3024,5.0822,0.098932,-1.9231,0.5307,4.1381,13812,-3.9883,NaN,127,male,1,a
11,1.0674,1.7428,8.1902,0.09704,-3.6923,0.42375,1.4369,15373,-3.6627,-7.3455,127,male,1,a
21,1.9353,1.6888,6.8759,0.092157,20.923,0.89819,29.79,22415,-7.5195,-12.189,127,male,2,a
14,1.3073,1.2224,4.6674,0.093379,2.0769,0.95417,7.5934,17068,-3.3625,-1.0097,127,male,2,a
13,1.2255,1.5187,6.1773,0.094268,-5.55E-16,0.25613,5.3234,15753,-6.765,1.067,127,male,2,a
11,1.0879,1.6905,6.7534,0.098902,-3.6923,0.96233,1.8562,24330,-0.92168,-4.7133,127,male,2,a
13,1.2146,1.7521,7.2376,0.093432,-7.77E-16,0.73618,5.087,19848,-1.2965,-6.0205,127,male,2,a
14,1.3078,1.6443,5.9029,0.093414,2.0769,0.43179,7.6042,29777,-4.341,-1.8963,127,male,2,a
14,1.427,1.0516,4.1806,0.10193,2.0769,0.36003,10.167,11553,-7.9604,NaN,127,male,2,a
11,1.1322,1.4219,4.5282,0.10292,-3.6923,0.76104,2.7377,30130,-3.7673,NaN,127,male,2,a
15,1.5443,1.3462,5.1243,0.10295,4.3077,0.32456,13.452,16564,-2.0065,NaN,127,male,3,a
12,1.1753,1.4823,6.1176,0.097943,-1.9231,0.91055,3.8938,23587,-5.2405,NaN,127,male,3,a
